,year,salary_cap
0,1984,3600000
1,1985,4233000
2,1986,4945000
3,1987,6164000
4,1988,7232000
5,1989,9802000
6,1990,11871000
7,1991,12500000
8,1992,14000000
9,1993,15175000
10,1994,15964000
11,1995,23000000
12,1996,24363000
13,1997,26900000
14,1998,30000000
15,1999,34000000
16,2000,35500000
17,2001,42500000
18,2002,40271000
19,2003,43840000
20,2004,43870000
21,2005,49500000
22,2006,53135000
23,2007,55630000
24,2008,58680000
25,2009,57700000
26,2010,58044000
27,2011,58044000
28,2012,58044000
29,2013,58679000
30,2014,63065000
31,2015,70000000
32,2016,94143000
33,2017,99093000
34,2018,101869000
35,2019,109000000
36,2020,118000000
